backend,case,category,iteration,passed,status,exit_code,duration_ms,contained,containment_reason
docker,tmpfs_write_allowed,containment,3,True,ok,0,1119.347,True,container_completed
gvisor,tmpfs_write_allowed,containment,3,True,ok,0,1941.147,True,container_completed
docker,network_disabled_probe,containment,3,True,ok,0,1040.402,True,container_completed
gvisor,network_disabled_probe,containment,3,True,ok,0,1263.758,True,container_completed
local,functional_hello,correctness,4,True,ok,0,32.895,True,dev_subprocess_completed
docker,functional_hello,correctness,4,True,ok,0,696.459,True,container_completed
gvisor,functional_hello,correctness,4,True,ok,0,1311.355,True,container_completed
local,deterministic_arithmetic,correctness,4,True,ok,0,27.814,True,dev_subprocess_completed
docker,deterministic_arithmetic,correctness,4,True,ok,0,705.726,True,container_completed
gvisor,deterministic_arithmetic,correctness,4,True,ok,0,1343.565,True,container_completed
local,json_serialization,correctness,4,True,ok,0,32.872,True,dev_subprocess_completed
docker,json_serialization,correctness,4,True,ok,0,1141.963,True,container_completed
gvisor,json_serialization,correctness,4,True,ok,0,2053.873,True,container_completed
local,stderr_exit_code,correctness,4,True,error,7,35.606,True,dev_subprocess_completed
docker,stderr_exit_code,correctness,4,True,error,7,695.57,True,container_completed
gvisor,stderr_exit_code,correctness,4,True,error,7,1404.001,True,container_completed
local,wall_timeout,failure-control,4,True,timeout,,401.992,True,wall_timeout
docker,wall_timeout,failure-control,4,True,timeout,,1403.823,True,wall_timeout
gvisor,wall_timeout,failure-control,4,True,timeout,,1403.707,True,wall_timeout
local,output_truncation,failure-control,4,True,ok,0,38.341,True,dev_subprocess_completed
docker,output_truncation,failure-control,4,True,ok,0,1038.105,True,container_completed
gvisor,output_truncation,failure-control,4,True,ok,0,1777.884,True,container_completed
docker,container_nonroot_uid,containment,4,True,ok,0,1014.93,True,container_completed
gvisor,container_nonroot_uid,containment,4,True,ok,0,1682.076,True,container_completed
docker,container_readonly_root,containment,4,True,ok,0,933.577,True,container_completed
gvisor,container_readonly_root,containment,4,True,ok,0,1487.784,True,container_completed
docker,tmpfs_write_allowed,containment,4,True,ok,0,1536.602,True,container_completed
gvisor,tmpfs_write_allowed,containment,4,True,ok,0,2842.64,True,container_completed
docker,network_disabled_probe,containment,4,True,ok,0,1270.089,True,container_completed
gvisor,network_disabled_probe,containment,4,True,ok,0,3167.215,True,container_completed
local,functional_hello,correctness,5,True,ok,0,28.667,True,dev_subprocess_completed
docker,functional_hello,correctness,5,True,ok,0,1021.336,True,container_completed
gvisor,functional_hello,correctness,5,True,ok,0,1218.162,True,container_completed
local,deterministic_arithmetic,correctness,5,True,ok,0,30.271,True,dev_subprocess_completed
docker,deterministic_arithmetic,correctness,5,True,ok,0,926.205,True,container_completed
gvisor,deterministic_arithmetic,correctness,5,True,ok,0,1532.192,True,container_completed
local,json_serialization,correctness,5,True,ok,0,37.388,True,dev_subprocess_completed
docker,json_serialization,correctness,5,True,ok,0,1157.181,True,container_completed
gvisor,json_serialization,correctness,5,True,ok,0,2352.462,True,container_completed
local,stderr_exit_code,correctness,5,True,error,7,32.726,True,dev_subprocess_completed
docker,stderr_exit_code,correctness,5,True,error,7,833.886,True,container_completed
gvisor,stderr_exit_code,correctness,5,True,error,7,1728.517,True,container_completed
local,wall_timeout,failure-control,5,True,timeout,,401.683,True,wall_timeout
docker,wall_timeout,failure-control,5,True,timeout,,1402.552,True,wall_timeout
gvisor,wall_timeout,failure-control,5,True,timeout,,1403.43,True,wall_timeout
local,output_truncation,failure-control,5,True,ok,0,23.652,True,dev_subprocess_completed
docker,output_truncation,failure-control,5,True,ok,0,985.348,True,container_completed
gvisor,output_truncation,failure-control,5,True,ok,0,1719.994,True,container_completed
docker,container_nonroot_uid,containment,5,True,ok,0,1515.812,True,container_completed
gvisor,container_nonroot_uid,containment,5,True,ok,0,1825.464,True,container_completed
docker,container_readonly_root,containment,5,True,ok,0,1053.59,True,container_completed
gvisor,container_readonly_root,containment,5,True,ok,0,1690.191,True,container_completed
docker,tmpfs_write_allowed,containment,5,True,ok,0,1826.136,True,container_completed
gvisor,tmpfs_write_allowed,containment,5,False,timeout,,3005.129,True,wall_timeout
docker,network_disabled_probe,containment,5,True,ok,0,1985.366,True,container_completed
gvisor,network_disabled_probe,containment,5,True,ok,0,2213.346,True,container_completed
